HMM_ID	Cutoff
K168_8	220
K168_9	220
K168_10	220
K168_11	220
K168_12	220
K169_5	220
K169_6	220
K169_7	220
K169_8	220
K169_9	220
K169_10	220
K169_11	220
K169_12	220
K139_6	220
K139_7	220
K139_8	220
K139_9	220
